tick,tubes_alive,probes_alive,used_length,spawned,pruned,mean_flux
538,1,3,0.367,22,23,0.01513
539,1,2,0.367,22,23,0.01221
540,2,1,0.367,23,23,0.00503
541,2,1,0.818,23,23,0.00436
542,2,1,0.818,23,23,0.00502
543,2,1,0.818,23,23,0.0051
544,2,1,0.818,23,23,0.0046
545,2,1,0.818,23,23,0.00387
546,2,2,0.818,23,23,0.00317
547,2,2,0.818,23,23,0.03408
548,2,2,0.818,23,23,0.04481
549,2,2,0.818,23,23,0.03531
550,2,2,0.818,23,23,0.02601
551,2,2,0.818,23,23,0.01979
552,2,2,0.818,23,23,0.01591
553,2,1,0.818,23,23,0.01235
554,2,1,0.818,23,23,0.01114
555,2,1,0.818,23,23,0.00897
556,2,1,0.818,23,23,0.00702
557,2,1,0.818,23,23,0.00633
558,2,1,0.818,23,23,0.0051
559,2,2,0.818,23,23,0.00402
560,2,2,0.818,23,23,0.00358
561,2,3,0.818,23,23,0.0029
562,1,3,0.367,23,24,0.00678
563,1,3,0.367,23,24,0.00767
564,1,3,0.367,23,24,0.00644
565,1,3,0.367,23,24,0.00549
566,1,3,0.367,23,24,0.00473
567,1,3,0.367,23,24,0.04764
568,1,3,0.367,23,24,0.06436
569,1,2,0.367,23,24,0.05037
570,1,2,0.367,23,24,0.0374
571,1,3,0.367,23,24,0.02827
572,1,3,0.367,23,24,0.02272
573,1,3,0.367,23,24,0.01767
574,1,3,0.367,23,24,0.01592
575,1,3,0.367,23,24,0.01282
576,1,3,0.367,23,24,0.01001
577,2,2,0.367,24,24,0.00453
578,2,2,0.785,24,24,0.00365
579,2,2,0.785,24,24,0.00285
580,2,2,0.785,24,24,0.00257
581,2,2,0.785,24,24,0.00207
582,2,1,0.785,24,24,0.00235
583,2,1,0.785,24,24,0.00279
584,2,1,0.785,24,24,0.00228
585,2,1,0.785,24,24,0.00192
586,2,2,0.785,24,24,0.0017
587,2,3,0.785,24,24,0.01653
588,2,3,0.785,24,24,0.02224
589,2,3,0.785,24,24,0.01758
590,3,2,0.785,25,24,0.00877
591,3,2,1.236,25,24,0.00644
592,3,2,1.236,25,24,0.00511
593,3,3,1.236,25,24,0.00411
594,3,3,1.236,25,24,0.00358
595,3,3,1.236,25,24,0.00286
596,3,3,1.236,25,24,0.00228
597,3,3,1.236,25,24,0.00201
598,3,3,1.236,25,24,0.00161
599,2,3,0.818,25,25,0.00205
600,2,3,0.818,25,25,0.00183
601,2,3,0.818,25,25,0.08061
602,2,3,0.818,25,25,0.08343
603,2,3,0.818,25,25,0.06893
604,2,3,0.818,25,25,0.05999
605,2,3,0.818,25,25,0.04806
606,2,3,0.818,25,25,0.03954
607,2,2,0.818,25,25,0.03723
608,2,2,0.818,25,25,0.03413
609,2,1,0.818,25,25,0.02847
610,2,1,0.818,25,25,0.02465
611,3,0,0.818,26,25,0.01308
612,2,0,0.785,26,26,0.01608
613,2,0,0.785,26,26,0.014
614,2,0,0.785,26,26,0.01122
615,2,1,0.785,26,26,0.00923
616,2,1,0.785,26,26,0.00805
617,2,2,0.785,26,26,0.00642
618,2,2,0.785,26,26,0.0053
619,2,2,0.785,26,26,0.00468
620,2,2,0.785,26,26,0.00374
621,2,2,0.785,26,26,0.05444
622,2,3,0.785,26,26,0.05808
623,2,3,0.785,26,26,0.04961
624,2,3,0.785,26,26,0.041
625,2,3,0.785,26,26,0.03338
626,2,3,0.785,26,26,0.02847
627,2,3,0.785,26,26,0.02538
628,2,3,0.785,26,26,0.02442
629,2,3,0.785,26,26,0.02004
630,2,3,0.785,26,26,0.01699
631,2,3,0.785,26,26,0.01403
632,2,3,0.785,26,26,0.01132
633,2,2,0.367,27,27,0.00958
634,2,2,0.818,27,27,0.00805
635,2,3,0.818,27,27,0.00649
636,2,3,0.818,27,27,0.0055
637,2,2,0.818,27,27,0.00461
638,2,2,0.818,27,27,0.00373
639,2,2,0.818,27,27,0.0032
640,2,1,0.818,27,27,0.00267
641,2,1,0.818,27,27,0.03727
642,2,1,0.818,27,27,0.04199
643,2,2,0.818,27,27,0.03638
644,2,2,0.818,27,27,0.02871
645,2,2,0.818,27,27,0.02389
646,2,2,0.818,27,27,0.02098
647,2,2,0.818,27,27,0.01758
648,2,2,0.818,27,27,0.01758
649,2,2,0.818,27,27,0.01471
650,2,2,0.818,27,27,0.01196
651,2,2,0.818,27,27,0.00998
652,2,2,0.818,27,27,0.00835
653,2,3,0.818,27,27,0.00672
654,3,2,0.818,28,27,0.02639
655,2,2,0.785,28,28,0.08976
656,2,2,0.785,28,28,0.07503
657,2,2,0.785,28,28,0.06532
658,2,3,0.785,28,28,0.05145
659,2,3,0.785,28,28,0.04312
660,2,3,0.785,28,28,0.03774
661,2,3,0.785,28,28,0.05029
662,2,3,0.785,28,28,0.0528
663,2,3,0.785,28,28,0.04598
664,2,3,0.785,28,28,0.03603
665,3,2,0.785,29,28,0.02017
666,3,3,1.236,29,28,0.01766
667,3,3,1.236,29,28,0.01445
668,3,3,1.236,29,28,0.01393
669,3,3,1.236,29,28,0.01202
670,3,3,1.236,29,28,0.00945
671,3,3,1.236,29,28,0.00782
672,3,2,1.236,29,28,0.00678
673,3,2,1.236,29,28,0.00535
674,3,2,1.236,29,28,0.01803
675,3,2,1.236,29,28,0.0418
676,2,2,0.818,29,29,0.05211
677,2,2,0.818,29,29,0.04549
678,2,2,0.818,29,29,0.03594
679,2,2,0.818,29,29,0.02997
680,2,2,0.818,29,29,0.02624
681,2,1,0.818,29,29,0.03519
682,2,1,0.818,29,29,0.03721
683,2,1,0.818,29,29,0.03214
684,2,1,0.818,29,29,0.02567
685,2,1,0.818,29,29,0.02132
686,2,2,0.818,29,29,0.01851
687,2,1,0.367,30,30,0.01548
688,2,2,0.785,30,30,0.01463
689,2,2,0.785,30,30,0.01274
690,2,2,0.785,30,30,0.01012
