tick,tubes_alive,probes_alive,used_length,spawned,pruned,mean_flux
362,2,2,0.785,15,15,0.05634
363,2,2,0.785,15,15,0.05648
364,2,3,0.785,15,15,0.04927
365,2,3,0.785,15,15,0.04123
366,2,3,0.785,15,15,0.03542
367,2,3,0.785,15,15,0.02814
368,2,3,0.785,15,15,0.02349
369,3,2,0.785,16,15,0.01341
370,2,2,0.818,16,16,0.01753
371,2,2,0.818,16,16,0.01498
